workerID,gender,age,income,language,order,domain,prob,evidence
27,F,25,10,English,3,dinner,0.6,Dinner is usually ready at around 6pm. You look at the clock and it is 6pm.
27,F,25,10,English,4,coffee,0.76,You take a sip of the coffee and feel that it is cold.
28,M,17,4,English ,1,coffee,0.61,You see that the cup isn't insulated.
28,M,17,4,English ,2,dinner,0.67,You just prepared dinner and set it out on the table.
28,M,17,4,English ,3,rain,0.97,You check the weather report on the Internet; which says it is raining.
28,M,17,4,English ,4,dog,0.51,Your neighbor just got a new dog.
29,M,25,6,english,1,dog,0.98,You are listening to music with your earphones. You look out the window and see that the mailman has just arrived at your neighbor's doorstep; when all of a sudden he jumps back.
29,M,25,6,english,2,dinner,0.98,You smell food coming from the dining room.
29,M,25,6,english,3,coffee,0.98,You know that the coffee has been on the table for an hour.
29,M,25,6,english,4,rain,0.98,You see a person come in from outside with wet hair and wet clothes.
30,M,35,6,English,1,dog,0.86,You hear the sound of a dog barking.
30,M,35,6,English,2,coffee,1,You take a sip of the coffee and feel that it is cold.
30,M,35,6,English,3,dinner,0.27,You're hungry.
30,M,35,6,English,4,rain,0.87,You check the weather report on the Internet; which says it is raining.
31,M,35,4,english,1,dog,0.27,Your neighbor just got a new dog.
31,M,35,4,english,2,dinner,0.39,You smell food coming from the dining room.
31,M,35,4,english,3,coffee,0.5,You see that the cup isn't insulated.
31,M,35,4,english,4,rain,0.86,You see a person come in from outside with wet hair and wet clothes.
32,F,35,8,English,1,coffee,0.64,You see that there is no steam coming from the coffee.
32,F,35,8,English,2,dinner,0.65,You smell food coming from the dining room.
32,F,35,8,English,3,rain,0.9,You see a person come in from outside with wet hair and wet clothes.
32,F,35,8,English,4,dog,0.51,You are listening to music with your earphones. You look out the window and see that the mailman has just arrived at your neighbor's doorstep; when all of a sudden he jumps back.
33,M,35,6,English,1,dog,0.5,You look outside and see Fluffy; the neighbor's dog; standing on the porch and barking.
33,M,35,6,English,2,dinner,1,Your spouse tells you that dinner is ready.
33,M,35,6,English,3,coffee,0.79,You know that the coffee has been on the table for an hour.
33,M,35,6,English,4,rain,0.69,You check the weather report on the Internet; which says it is raining.
34,F,35,11,English,1,dinner,0.35,You're hungry.
34,F,35,11,English,2,dog,0.79,You are listening to music with your earphones. You know that your neighbor's dog often barks in the evening.
34,F,35,11,English,3,rain,0.38,You check the weather report on the Internet; which says it is raining.
34,F,35,11,English,4,coffee,0.81,You see that there is no steam coming from the coffee.
35,M,55,6,english,1,coffee,0.71,You touch the coffee cup and feel that it is cold.
35,M,55,6,english,2,dinner,0.89,Your spouse tells you that dinner is ready.
35,M,55,6,english,3,rain,0.88,You look out the window and see raindrops falling from the sky.
35,M,55,6,english,4,dog,0.49,You are listening to music with your earphones. You know that your neighbor's dog often barks in the evening.
36,M,45,4,english,1,dog,0.64,You are listening to music with your earphones. You look out the window and see that the mailman has just arrived at your neighbor's doorstep; when all of a sudden he jumps back.
36,M,45,4,english,2,rain,0.59,You check the weather report on the Internet; which says it is raining.
36,M,45,4,english,3,dinner,0.87,Your spouse tells you that dinner is ready.
36,M,45,4,english,4,coffee,0.86,You touch the coffee cup and feel that it is cold.
37,M,25,4,English,1,dog,0.49,Your neighbor just got a new dog.
37,M,25,4,English,2,rain,0.88,You check the weather report on the Internet; which says it is raining.
37,M,25,4,English,3,dinner,0.49,You're hungry.
37,M,25,4,English,4,coffee,0.65,You see that there is no steam coming from the coffee.
38,M,25,6,English,1,dog,0.66,You are listening to music with your earphones. You look out the window and see that the mailman has just arrived at your neighbor's doorstep; when all of a sudden he jumps back.
38,M,25,6,English,2,rain,0.88,You see a person come in from outside with wet hair and wet clothes.
38,M,25,6,English,3,dinner,0.11,You smell food coming from the dining room.
38,M,25,6,English,4,coffee,0.95,You know that the coffee has been on the table for an hour.
39,F,55,6,english,1,dog,0.71,You are listening to music with your earphones. You know that your neighbor's dog often barks in the evening.
39,F,55,6,english,2,rain,0.64,You see a person come in from outside with wet hair and wet clothes.
39,F,55,6,english,3,dinner,0.92,Your spouse tells you that dinner is ready.
39,F,55,6,english,4,coffee,0.48,You see that there is no steam coming from the coffee.
40,F,65,11,English,1,dog,0.68,You are listening to music with your earphones. You look out the window and see that the mailman has just arrived at your neighbor's doorstep; when all of a sudden he jumps back.
40,F,65,11,English,2,rain,0.88,You see a person come in from outside with wet hair and wet clothes.
40,F,65,11,English,3,dinner,0.98,You're hungry.
40,F,65,11,English,4,coffee,0.51,You see that the cup isn't insulated.
