"","workerid","item","modal","freq","choice1","choice2","choice3","choice4","rating","evidence_type","worker_score"
"100",12,"fish_slider","must",50,"full","indirect","report","direct",0.55,"full",15
"102",12,"flower_slider","bare",100,"indirect","full","report","direct",0.67,"direct",15
"104",12,"bird_slider","might",25,"report","indirect","direct","full",0.52,"full",15
"106",13,"bug_slider","bare",100,"report","indirect","full","direct",0.62,"full",14
"108",13,"bird_slider","bare",100,"indirect","report","direct","full",0.62,"direct",14
"110",13,"fish_slider","bare",25,"full","direct","report","indirect",0.64,"direct",14
"112",13,"flower_slider","must",75,"direct","full","indirect","report",0.71,"direct",14
"114",14,"fish_slider","bare",100,"full","report","direct","indirect",0.8,"full",16
"116",14,"bug_slider","might",25,"report","indirect","full","direct",0.51,"indirect",16
"118",14,"bird_slider","might",25,"indirect","report","direct","full",0.6,"indirect",16
"120",14,"flower_slider","bare",75,"report","full","indirect","direct",0.95,"direct",16
"122",15,"bug_slider","must",50,"direct","indirect","full","report",0.89,"direct",13
"124",15,"flower_slider","bare",100,"report","full","indirect","direct",0.98,"direct",13
"126",15,"bird_slider","must",50,"direct","indirect","report","full",1,"direct",13
"128",15,"fish_slider","must",25,"full","indirect","direct","report",0.83,"direct",13
"130",16,"bug_slider","must",100,"indirect","report","full","direct",1,"direct",15
"132",16,"fish_slider","might",75,"full","direct","report","indirect",0.5,"indirect",15
"134",16,"bird_slider","must",100,"indirect","direct","report","full",0.49,"indirect",15
"136",16,"flower_slider","might",50,"report","full","direct","indirect",0.99,"indirect",15
"138",17,"bird_slider","must",25,"report","indirect","direct","full",0.83,"direct",12
"140",17,"flower_slider","might",75,"direct","full","indirect","report",0.76,"direct",12
"142",17,"fish_slider","must",100,"full","indirect","direct","report",0.68,"full",12
"144",17,"bug_slider","must",25,"indirect","report","full","direct",0.73,"indirect",12
"146",18,"flower_slider","must",25,"direct","full","report","indirect",1,"direct",16
"148",18,"fish_slider","might",50,"full","direct","report","indirect",0.49,"indirect",16
"150",18,"bug_slider","might",100,"report","direct","full","indirect",0.75,"indirect",16
"152",18,"bird_slider","might",100,"indirect","direct","report","full",0.22,"indirect",16
"154",19,"fish_slider","might",25,"full","direct","indirect","report",0.6,"full",13
"156",19,"bug_slider","might",75,"direct","report","full","indirect",0.52,"direct",13
"158",19,"bird_slider","might",75,"indirect","direct","report","full",0.61,"direct",13
"160",19,"flower_slider","bare",50,"direct","full","indirect","report",0.59,"direct",13
"162",20,"fish_slider","might",75,"full","indirect","report","direct",0.48,"direct",16
"164",20,"bug_slider","must",50,"indirect","direct","full","report",0.75,"full",16
"166",20,"flower_slider","bare",25,"direct","full","report","indirect",0.96,"direct",16
"168",20,"bird_slider","must",50,"report","direct","indirect","full",0.82,"full",16
"170",21,"bug_slider","must",75,"indirect","direct","full","report",0.87,"direct",16
"172",21,"bird_slider","must",75,"indirect","direct","report","full",0.75,"indirect",16
"174",21,"fish_slider","bare",25,"full","indirect","report","direct",0.69,"indirect",16
"176",21,"flower_slider","bare",100,"indirect","full","report","direct",0.85,"indirect",16
"178",22,"fish_slider","must",25,"full","direct","report","indirect",0.49,"direct",16
"180",22,"bug_slider","might",50,"direct","report","full","indirect",0.55,"indirect",16
"182",22,"flower_slider","bare",100,"indirect","full","report","direct",1,"direct",16
"184",22,"bird_slider","might",50,"report","direct","indirect","full",0.61,"direct",16
"186",23,"fish_slider","might",100,"full","direct","report","indirect",0.54,"indirect",16
"188",23,"bug_slider","might",75,"indirect","report","full","direct",0.67,"direct",16
"190",23,"bird_slider","might",75,"report","indirect","direct","full",0.78,"direct",16
"192",23,"flower_slider","bare",50,"indirect","full","direct","report",0.73,"direct",16
"194",24,"bird_slider","bare",50,"direct","report","indirect","full",0.49,"direct",12
"196",24,"bug_slider","bare",50,"indirect","report","full","direct",0.72,"direct",12
"198",24,"flower_slider","might",25,"direct","full","indirect","report",0.59,"full",12
"200",24,"fish_slider","must",75,"full","direct","report","indirect",0.78,"indirect",12
"202",25,"flower_slider","might",100,"report","full","indirect","direct",0.5,"full",16
"204",25,"fish_slider","might",50,"full","direct","report","indirect",0.52,"full",16
"206",25,"bug_slider","bare",75,"report","direct","full","indirect",0.49,"full",16
"208",25,"bird_slider","bare",75,"direct","indirect","report","full",0.48,"full",16
"210",26,"bird_slider","must",100,"report","direct","indirect","full",0.52,"direct",15
"212",26,"fish_slider","must",75,"full","indirect","report","direct",0.36,"direct",15
"214",26,"bug_slider","must",100,"direct","report","full","indirect",0.19,"direct",15
"216",26,"flower_slider","bare",25,"indirect","full","direct","report",0.46,"direct",15
"218",27,"fish_slider","must",50,"full","indirect","direct","report",0.72,"report",15
"220",27,"bug_slider","might",25,"report","indirect","full","direct",0.64,"indirect",15
"222",27,"bird_slider","might",25,"report","direct","indirect","full",0.6,"indirect",15
"224",27,"flower_slider","must",75,"report","full","indirect","direct",0.61,"direct",15
"226",28,"fish_slider","must",50,"full","direct","indirect","report",0.69,"direct",16
"228",28,"bird_slider","must",75,"indirect","direct","report","full",0.58,"full",16
"230",28,"bug_slider","must",75,"direct","indirect","full","report",1,"direct",16
"232",28,"flower_slider","might",100,"indirect","full","direct","report",0.99,"full",16
"234",29,"bug_slider","bare",100,"indirect","direct","full","report",0.84,"direct",16
"236",29,"bird_slider","bare",100,"report","direct","indirect","full",0.9,"direct",16
"238",29,"flower_slider","must",75,"indirect","full","direct","report",0.93,"direct",16
"240",29,"fish_slider","must",25,"full","indirect","direct","report",0.94,"direct",16
"242",30,"flower_slider","might",25,"report","full","direct","indirect",0.51,"indirect",14
"244",30,"bug_slider","bare",75,"direct","report","full","indirect",0.49,"direct",14
"246",30,"fish_slider","bare",50,"full","direct","indirect","report",0.49,"direct",14
"248",30,"bird_slider","bare",75,"indirect","direct","report","full",0.49,"direct",14
"250",31,"bird_slider","bare",50,"indirect","direct","report","full",0.56,"direct",15
"252",31,"fish_slider","must",25,"full","indirect","direct","report",0.43,"direct",15
"254",31,"flower_slider","might",75,"indirect","full","direct","report",0.57,"direct",15
"256",31,"bug_slider","bare",50,"direct","report","full","indirect",0.46,"direct",15
"258",32,"fish_slider","might",25,"full","direct","indirect","report",0.25,"direct",13
"260",32,"bug_slider","bare",75,"report","direct","full","indirect",0.85,"direct",13
"262",32,"bird_slider","bare",75,"indirect","direct","report","full",0.51,"direct",13
"264",32,"flower_slider","might",50,"report","full","indirect","direct",0.53,"report",13
"266",33,"flower_slider","must",25,"indirect","full","direct","report",0.49,"direct",16
"268",33,"bird_slider","might",100,"indirect","direct","report","full",0.77,"direct",16
"270",33,"bug_slider","might",100,"direct","indirect","full","report",0.82,"full",16
"272",33,"fish_slider","bare",75,"full","direct","report","indirect",0.77,"full",16
"274",34,"bug_slider","must",100,"indirect","direct","full","report",0.63,"direct",16
"276",34,"fish_slider","might",50,"full","indirect","report","direct",0.67,"full",16
"278",34,"bird_slider","must",100,"report","indirect","direct","full",0.53,"direct",16
"280",34,"flower_slider","bare",25,"report","full","direct","indirect",0.47,"direct",16
"282",35,"bug_slider","must",25,"direct","report","full","indirect",0.51,"full",15
"284",35,"bird_slider","must",25,"indirect","report","direct","full",0.49,"direct",15
"286",35,"flower_slider","might",50,"direct","full","indirect","report",0.51,"indirect",15
"288",35,"fish_slider","must",75,"full","report","direct","indirect",0.73,"direct",15
"290",36,"fish_slider","bare",25,"full","direct","report","indirect",0.51,"direct",0
"292",36,"bug_slider","must",75,"report","direct","full","indirect",0.59,"direct",0
"294",36,"flower_slider","might",100,"report","full","indirect","direct",0.55,"direct",0
"296",36,"bird_slider","must",75,"report","direct","indirect","full",0.45,"direct",0
"298",37,"bird_slider","must",25,"indirect","direct","report","full",0.98,"direct",13
"300",37,"bug_slider","must",25,"report","indirect","full","direct",0.98,"direct",13
"302",37,"fish_slider","must",50,"full","direct","indirect","report",0.99,"direct",13
"304",37,"flower_slider","might",100,"direct","full","indirect","report",0.98,"direct",13
"306",38,"flower_slider","must",75,"report","full","direct","indirect",0.73,"full",14
"308",38,"bug_slider","bare",25,"report","direct","full","indirect",0.82,"full",14
"310",38,"fish_slider","must",100,"full","indirect","direct","report",0.69,"full",14
"312",38,"bird_slider","bare",25,"report","indirect","direct","full",0.8,"full",14
"314",39,"bird_slider","might",100,"report","indirect","direct","full",0.5,"indirect",16
"316",39,"fish_slider","bare",50,"full","direct","report","indirect",0.49,"direct",16
"318",39,"bug_slider","might",100,"indirect","direct","full","report",0.51,"indirect",16
"320",39,"flower_slider","bare",75,"direct","full","indirect","report",0.65,"full",16
"322",40,"bug_slider","must",25,"direct","report","full","indirect",1,"direct",16
"324",40,"bird_slider","must",25,"report","direct","indirect","full",1,"direct",16
"326",40,"flower_slider","might",75,"report","full","direct","indirect",1,"direct",16
"328",40,"fish_slider","bare",50,"full","indirect","report","direct",1,"direct",16
"330",41,"bug_slider","might",50,"indirect","report","full","direct",0.87,"direct",16
"332",41,"bird_slider","might",50,"report","indirect","direct","full",0.5,"indirect",16
"334",41,"fish_slider","bare",100,"full","report","indirect","direct",1,"full",16
"336",41,"flower_slider","must",25,"direct","full","report","indirect",0.89,"direct",16
"338",42,"fish_slider","might",75,"full","report","direct","indirect",0.22,"indirect",13
"340",42,"flower_slider","might",25,"indirect","full","report","direct",0.72,"direct",13
"342",42,"bug_slider","must",50,"report","direct","full","indirect",0.78,"direct",13
"344",42,"bird_slider","must",50,"report","direct","indirect","full",1,"full",13
"346",43,"bird_slider","might",100,"indirect","report","direct","full",0.67,"indirect",16
"348",43,"fish_slider","must",50,"full","direct","indirect","report",0.95,"direct",16
"350",43,"bug_slider","might",100,"direct","indirect","full","report",0.59,"indirect",16
"352",43,"flower_slider","must",25,"indirect","full","direct","report",0.95,"direct",16
"354",44,"bird_slider","bare",50,"report","direct","indirect","full",0.65,"full",9
"356",44,"bug_slider","bare",50,"indirect","report","full","direct",0.63,"full",9
"358",44,"fish_slider","bare",75,"full","report","direct","indirect",0.67,"full",9
"360",44,"flower_slider","might",100,"direct","full","report","indirect",0.54,"full",9
"362",45,"bird_slider","might",100,"indirect","report","direct","full",0.61,"full",16
"364",45,"bug_slider","might",100,"direct","report","full","indirect",0.62,"direct",16
"366",45,"fish_slider","must",75,"full","direct","indirect","report",0.75,"direct",16
"368",45,"flower_slider","must",25,"report","full","direct","indirect",0.47,"full",16
"370",46,"fish_slider","bare",100,"full","indirect","report","direct",0.09,"report",15
"372",46,"bird_slider","must",75,"direct","indirect","report","full",0.5,"full",15
"374",46,"bug_slider","must",75,"report","direct","full","indirect",0.5,"report",15
"376",46,"flower_slider","bare",25,"report","full","indirect","direct",0.52,"report",15
"378",47,"bug_slider","must",100,"report","direct","full","indirect",0.49,"direct",14
"380",47,"flower_slider","might",50,"report","full","direct","indirect",0.47,"full",14
"382",47,"bird_slider","must",100,"report","direct","indirect","full",0.49,"full",14
"384",47,"fish_slider","bare",75,"full","direct","report","indirect",0.51,"indirect",14
"386",48,"flower_slider","must",100,"indirect","full","report","direct",0.46,"direct",16
"388",48,"bird_slider","might",50,"report","indirect","direct","full",0.53,"indirect",16
"390",48,"bug_slider","might",50,"direct","indirect","full","report",0.6,"indirect",16
"392",48,"fish_slider","must",25,"full","report","indirect","direct",0.68,"direct",16
"394",49,"flower_slider","might",100,"direct","full","report","indirect",0.5,"direct",15
"396",49,"bird_slider","must",75,"report","direct","indirect","full",0.65,"full",15
"398",49,"bug_slider","must",75,"indirect","report","full","direct",0.66,"direct",15
"400",49,"fish_slider","bare",50,"full","direct","indirect","report",0.95,"full",15
